,raw_line
0,"Joey: Okay. (to Phoebe and Chandler) Did ah, you guys mean you plus one?
Chandler: Okay, maybe!
Joey: Or we could have three!
Chandler: Okay!
Joey: Or we could have four!
Chandler: Okay!
Joey: All right!
Monica: All right!
Joey: All right!
Joey: All right!
Chandler: All right!
Joey: All right!
Ross: All right!
Joey: All right!
Chandler: All right!
Joey: All right!
Ross: All right!
Phoebe: (greedy"
1,"Monica: I don't know. I don't know. It's just going to be so great! Y'know? If I can just talk to Joey and convince him that I'm not the type of person that he's looking at all you guys are for.
Chandler: Well, I don't think you can.
Monica: What do you mean, you don't think I'm looking at him?
Chandler: Well, I mean you've not been around him that much, and I mean you're not married, and I'm not a couple… (starts to act like he is looking at her, but stops and looks around) …that we're very familiar with.
Monica"
2,"Ross: Sure. (He opens the door to Joey. Needless to say, Joey's stunned.) Joey…
Joey: Hey.
Ross: Hey.
Joey: Hey look, I know you're not gonna believe this, but I just talked to Phoebe.
Ross: Oh my God!
Joey: Yeah?
Ross: She told me that uh, you and Rachel…
Joey: Oh-oh-oh!
Ross: She and Rachel…
Joey: Oh-oh-oh!
Ross: She went on to say that uh, that you and Rachel are really good together, and that you and her, are like best friends that—Whoa!
Joey:"
3,"Monica: Very good! (Gives him the keys) What do you need it for anyway?
Ross: Well umm, for the last couple weeks I've been working on this little experiment. I'm developing a new game show for our little friend.
Phoebe: Oh great!
Ross: Yeah, it's called, Get A Clue.
Monica: Oh-oh!
Ross: Yes! Yes! It's a game show about deduction! Y'know, like how Joey and Chandler were demonstrating on the show!
Phoebe: Yeah?
Ross: Umm, it's kind of like a cross between That's Funny! and That's Jeopardy!
Phoe"
4,"Rachel: (taking the brush back) Okay. Let's use this brush. (Hands him another one.)
Chandler: (Using the sponge to brush the facial hair right off of his face.) Okay, let's see. What is this? (He pushes the brush into the tissue, it's stuck again.)
Rachel: (Getting some) That's the most we can do for now.
Chandler: What are you doing?
Rachel: Oh, I, I just, I wanted to see how it felt.
Chandler: Oh, y'know, you could do this with a real rollerblader.
Rachel: No, I can't. I hate rollerbladers.
Ch"
5,"Monica: I know. (pause) I need more pie. (goes and gets some) Oh, wait, I forgot the dressing.
Chandler: Oh, I’m so sorry.
Joey: You got the dressing?
Chandler: Yes, I did.
Joey: Oh, so you’re dressing her now?
Chandler: Yes, I want to see her again tonight.
Joey: Oh, great.
Chandler: Yeah.
Joey: Okay.
(They go into the bathroom and Chandler closes the door.)
Joey: (coming out of the bathroom) I’m getting dressed.
Chandler"
6,"JOEY: That was a good one. For a second there, I was like, ""whoa.""
MONICA: [entering with Phoebe] Hey!
PHOEBE: Hey.
MONICA: Phoebe, what are you doing here?
PHOEBE: Well, I just came by to drop off this wedding dress that I got from Ralph Lauren.
MONICA: Oh, I didn't know it was a Ralph Lauren wedding dress.
PHOEBE: Oh, okay, great. [She tries on the wedding dress. It's blue, white, and black.] Oh! Really, I should have pictures of you and your guests. I know it's crazy.
MONICA"
7,"Ross: Wow! We are pretty good at this! Hey! We totally forgot about lunch!
Chandler: Well, you can leave now, or we can cook dinner!
Ross: Oh, well, what did you want to talk about?
Chandler: Well, you know I don't think there's anything to talk about because...
Ross: There is!
Chandler: Okay, there is! I don't think there's anything to talk about.
Ross: There is!
Chandler: Okay, there is!
Ross: There is!
Chandler: Okay, there is!
Ross: There is!
Chandler: Okay, there is"
8,"Rachel: Oooooh. (reads letter) (surprised): Oh! I got an interview! I got an interview!
Monica: Oh my God!
Rachel: Like, umm, what was it?
Monica: Oh, it was a simple interview, actually, just an honest mistake. I had an interview with a massage client, and then I lost the client, and then I mistakenly thought that my massage therapist was dead, and she was actually just trapped in my head.
Rachel: Oh! (reads letter) (confused): Oh, I think I just had a client!
Monica: You have clients?
Rachel: Yeah!
Monica: Well, you're not a masseur.
Rachel"
9,"Monica: This is so great! Now we can enter into doubles tournaments!
Chandler: Yeah! Oh and double dates are a thing of beauty. (They both look at each other.) And once again, we have to go back to the drawing board.
Monica: Oh, so you're not gonna be able to come up with a date this weekend?
Chandler: (looks at her) Oh, come on!
Monica: Double dates, double events!
Chandler: Oh, I'm sorry, double dates are a thing of beauty! (He looks at her.)
Monica: Come on, you know where they are?
Chand"
